overall,reviewText,summary
1,Too big and really heavy. Other than that good quality.,Other than that good quality.
1,"it fell apart after one week of wear, I had to fix it.",Fell apart
1,Extremely to small ordered a 6x feels like a 3x,One Star
1,had to give away. It is very small and short.,One Star
1,It was not silver as advertised it was gold plated...I wanted all silver,Not Silver
1,"The photo displayed in the advertisement is quite different than the actual item. The ring itself is very small. I would classify it as a children's ring (definitely not a man's ring) or perhaps a women's ring, if she were small in stature. Look at the photo----the only black you actually see on the ring is in the side symbols. The face/head of the ring is only silver. All that detail in the photo depicted is missing on the ring because there is no black enamel highlighting. Extremely disappointed in this ring. I'm returning it immediately.",BUYER BEWARE...........
1,"Decal is faded and wrong looking, like a picture that has been sized too large and has lost definition because of it.  Also very much looks like a home iron-on kit.",like a picture that has been sized too large and ...
1,"I bought a nice looking watch thinking it was worth 200 bucks only to find out it was such a third rate watch. Timex are far more superior compared to this.

Their marked off prices are misleading and do not tell you the value of this watch. It's exactly the watch you would find in a flea market.

It was a present for my father in law but to find out it was a defective watch and it's embarrassing.

Guys, if you want to buy a watch, do yourself a favor: avoid this one & buy a real one.",Don't buy! It's such an embarrassment for my father in law to find out it was defective
1,Definitely not 2hat it was expected to be,not what was going for
1,Too tiny,One Star
1,Not their normal quality....hard rubber sole do not care for them,One Star
1,"I ordered the wallet for my husband for Father's Day.  When I received it half of the stitching on the inside of the wallet wasn't ""stitched"", was thread, not threaded.  And the leather at the bottom of it was ripped!  Very displeased",Nothing good
1,I ordered for a medium one. But what I received was large one.,One Star
1,It is the wrong size. I buy these slacks frequently and I purchased size 38 waist and 32 long but I believe its a size 36. The tag on the slacks could be incorrect,It is the wrong size. I buy these slacks ...
1,These boots aren't waterproof. I wore them for 20 minutes in light rain and my socks were wet.,Not waterproof. Wet socks in 20 minutes.
1,Sizing way off. We ordered a size 7 and it is probably closer to a 5T. The length is especially wrong. Maybe 3-4 inches shorter than other size small (6-7) shirt we have.,Extremely short
1,Returned. The bracelet is not gold but rather painted a weird ivory color with a gold charm. The bracelet is also not adjustable at all and very large on small/normal size wrists.,It's not gold.
1,"I'm not sure if it's the color I bought, but these are the least flattering pants ever. They are tight from the thigh down and loose over the hips making me look 30lbs heavier.",MC Ham-hoc
1,"I was very disappointed with the fit.  I ordered it in three different sizes (sm, med and large) and none worked.  They all look fantastic in the front.  Very sexy and flattering.  I loves the ties on the side and how you could adjust the length.  This was exactly what I was looking for.  Something that was sexy but also covered my butt.  I was tired of my bikini bottoms riding up so I thought this would be a good solution.  Regular skirts to me look matronly so I had high hopes for this one.  Unfortunately, the back is where is all goes wrong.  It is too tight and shows the butt crease of the liner.  Very unflattering.  I thought going up a size or two would maybe fit better but no.  I wear a size 2-4 pants, so even a large was unflattering.  I didn't try this exact product on at Athleta and it fit great and the butt looked awesome however they didn't carry it in a solid color which is what I was looking for.  So this tells me it has something to do with the design of this particular brand.",I was very disappointed with the fit
1,"So, I ordered this product under the assumption that Id be getting the top and the skirt and that the stockings were not included. All I received, however, were the stockings. I was a bit confused, to say the least. I messaged the seller but of course they never responded. That was probably a month ago. I was thinking of returning the stockings but I suppose they weren't that costly and itd be too much of a hassle. Plus, I could always use an extra set. I went ahead and bought another outfit from a different seller. Im way happier with the looks of the one I did receive and so is my fianc. At any rate, I suppose the lesson here is, always know what you're paying for and always do your research. No stars. ",I was a bit confused...
1,"This is the second Urban Oxide backpack I've had. They were both identical - both were the UO Adventure in black. the first one lasted about 10 months before the rubber loops at the bottom of the bag (the ones that hold the straps to the bag) broke. My thought was, ""Okay, I carry this nearly every day and some days it's holding a lot of stuff. I'll just use kilt pins to hold the straps on,"" In the meantime, I hemmed and hawed and looked at what seemed like a squillion backpacks before I decided to order yet another UO backpack. I liked it, liked the design and the fact that it was made from recycled material. I continued to carry to  the ""reworked"" backpack until it got so trashy that I refused to wear it anymore. I fell back on a Timbuk2 bag that I've had for years. In the meantime, I've received the new UO backpack but don't use it right away. (Ordered it in August and didn't start using it until September.) So, now I've used it maybe a month and as I'm walking through Downtown Disney, what happens? One of the damn loops breaks! Keep in mind that I've only worn this thing for a month. I love that UO uses recycled materials for their bags but I refuse to spend $70 for a backpack that breaks after a month!! And, to make this experience even worse, with Amazon's return policy, I can no longer send this back. EXTREMELY DISAPPOINTED!! I cannot recommend this backpack in the least. Spend a little more, get something sturdy - leather, canvas, balllistic nylon - anything other than this!",UGH!!! SECOND ONE THAT HAS BROKEN!!
1,"The pendant was beautiful, but the chain broke the first time I put it on!  Low quality I did not expect from Amazon.com.",Don't waste your money
1,"The first pair of these shoes that I ordered fit beautifully and I fell in love with them. However on closer inspection it appeared that the shoes had been worn before. Not just tried on, but worn. There was a spot of leather rubbed off on the back of both shoes. I immediately went back on Amazon and ordered another pair because these shoes were perfect for what I needed. I didn't wait to return the first pair because I didn't want to run the risk of receiving the same pair in a second order. The second pair was in even worse condition than the first. The leather was greatly creased, they were dirty and both shoes were showing leather rubbed off in exactly the same place as the first pair. I was now in possession of two pair of these shoes, neither of which was acceptable. I returned both of them. Very disappointed, Amazon.",Used shoes
1,Cheap looking. Poorly made. Pain to get into.,Don't waste your money
1,"Its extremely hard to get in and its a bit oversized for people with small ears. You definitely need the help of a piercer to put this in, i gave myself a headache trying to put this in and didn't get anywhere... the star is just for the style its very cute",I don't recommed
1,I cannot figure out how to put this on. Is this made for a small child. Very disappointed and extremely irritated. If you're going to make a product this hard to use atleast include instructions.,Definitely want my money back
1,Ummm so i received the rest of my orders but just an empty package .... No earrings.. Very disappointed,One Star
1,The Pump does not work in the pair i received.,Boo!
1,I ordered size 12 but received a size 16,One Star
1,I ordered these shoes in a size 13 and what I got was an 8 1/2. This has ruined my Christmas gift for the recipient and I have every intention of sending these back!!!!,I ordered these shoes in a size 13 and what ...
1,"Disappointed, I wore them 2 days and then they ripped while putting them on, I measured and got the size recommended, but felt like crotch never fit where supposed to and toes way too tight. Trying now to order another brand","Disappointed, I wore them 2 days and then they ..."
1,I got the wrong product in the mail.,One Star
1,"Terrible product. Seemed great when it arrived - good size, just what I ordered. Had some trouble figuring out how the straps work, but eventually reverse-engineered a solution. But it broke on the first outing.

I bought it for travel, specifically to go to Seattle (thinking it's a good size and rain-proof). Plane trip was fine, but the next day the seam ripped about 3 inches. So I had to seal it with packing tape to survive the rest of the holiday weekend. Classy. Ugh.",Broke immediately
1,Does NOT fit right.  Arms way too long. Not a good buy.,NOT A GOOD BUY
