,Text,Sentiment_value
0,day umassgives winds want say thank incredible supporters umassgives flagship,1
1,rt umassbaseball good day dub flagship,1
2,gifts little go reach goal unlocking two gifts help us show world isenberg means making gift today umassgives isenberggives,1
3,blessed receive second offer umassfootball flagship coach mince keithdudz fbcoachdbrown coachgaston coach cole popejohnlionsfb coachwheatncsa rivalsrichie rivalsfriedman edobriencfb mohrrecruiting,1
4,final bluejays redsox tor h e bos h e wp richard bleier w lp erik swanson l sv josh winckowski time attendance fenway park mlb gameday,1
5,rt umassfootball yard kick good q defense offense flagship,1
6,arrived ready championships week flagship,1
7,Bad very bad high note winning power hour let keep momentum going givehappy,-1
8,wish homers solos take redsox,1
9,rt nesn verdugo another walk redsox. Another bad game,-1
10,bluejays lose redsox kikuchi er ip varsho rbi nextlevel dirtywater mlb,-1
11,love jarren duran edge dugout every redsox hit cheering teammates,1
12,upcoming bct lecture pm noise health built environment andy carballeira acentech info umassamherst umasscns umassses umasseco umassbct,0
13,redsox tanner houck allowed hits runs scored bottom order game bos pitchers helped bottom order batters era season rd highest e worst major leagues,-1
14,rt diverse schools check umass magazine interview ncsd research advisory panel member lindatropp umassamherst,-1
15,tuesday al standings redsox game playoff spot game ahead yankees,1
16,night connor wong redsox,1
17,rt nesn live alex verdugo coming clutch ebsterontv redsox,-1
18,wlax academic team selections flagship,1
19,walk hits last seasons redsox david ortiz jim rice carlton fisk dwight evans alex verdugo troy leary,1
20,rt umass xc tf final regular season home meet today pre championship invite amherst mass umass track amp field complex,1
21,jays run inning red sox storm back win mlb bluejays redsox,-1
22,plate bluejays shortstop bo bichette game last night vs redsox going home run singles nd hit game making player club history multiple hit games single season,1
23,one inning enough heading th flagship,-1
24,christian arroyo heating redsox,1
25,come trovare un valido flagship store manager headhunter flagship ricercamy,1
26,power hour time umassclacls center latin american caribbean latino studies gifts amount made pm et help win additional let make happen umassgives,1
27,idk man redsox got wong verdugo betts trade bad,-1
28,one skips post game interviews baseball boston bostonredsox majorleaguebaseball massachusetts mlb mlbamericanleague mlbamericanleagueeast redsox,-1
29,bonnies strike first two run double e st bonaventure umass flagship,1
30,rbi single nolan tichy helps extend lead umass st bonaventure flagship,1
31,bluejays redsox starting pitchers tor alek manoah bos nick pivetta first pitch pm venue fenway park mlb gameday,0
32,message coachreynolds donors away goal umassgives flagship,1
33,rt shwethachandra one dazzling keynote talks performances ever witnessed prof leela gandhi demonstrated resistan,1
34,extra softball friday afternoon umass gw flagship,1
35,umassgives counting help support hfa students scholarship internship opportunities humanities arts students future leaders support change world,1
36,ex red sox andrew benintendi makes insane home run robbing catch vs twins redsox rt,-1
37,coach brown calling yes day left support umass football umassgives show support umassgives flagship,1
38,finally enjoy tallulah pix unofficial mascot umass minutemen rocking umasshockey hoody,1
39,samsung registra marchi isocell zoom e zoom pro per u cameraphone flagship galaxys galaxys ultra isocell isocellzoom isocellzoompro mobilenews notizie samsung samsunggalaxy smartphone tech technews tecnologia telefonia,1
40,wong dong x redsox,1
41,class class lot changed past years opportunity help forge umassamherst looks next century give future givehappy umassgives,1
42,capstone constructionmanagement project presentations well underway point first two teams presented well done everyone umassamherst umasscns umassses umasseco umassbct,1
43,whole series extremely heavy lift creative team got done big ac sbe interns hard work putting together flagship,1
44,rt umassfootball ol appreciation post flagship,1
45,top flagship smartphones iphone pro max samsung ultra vivo x pro oppo find x pro xiaomi ultra pixel pro oneplus one would choose india smartphone flagship,1
46,rt nicolerusso well made tear celtics move heather,1
47,almost time power hour time join us april th donate mccormack umassgives,1
48,rt ilnerness redsox go kevin kiermaier makes absolutely bonkers play cut refsnyder trying get second wha,-1
49,noticed new sign huge jumbotron keeps track balls strikes cool redsox dirtywater,1
50,rt umassfootball interview joshwallace flagship,1
51,bostonstrong happen better guy redsox dirtywater,-1
52,jackson cummings message laxbacker nation umassgives flagship,1
53,day left umassgives donate power hour april pm pm support collegian,-1
54,bluejays redsox bot th mound visit,1
55,bluejays redsox bot th christian arroyo grounds b matt chapman b vladimir guerrero jr pop ip h inherited scored pitches strikes,-1
56,rt coach mince come show dudemass flagship rbeast,1
57,legend connor wong born tonight redsox,1
58,kay ron adams gets offense board flagship,1
59,connor redsox second hr night,1
60,john lewis huge inspiration much good trouble tattooed arm clare sheedy public health umasssphhs umassamherst seniorseries celebrates outstanding umass students,1
61,massachusetts football inside spring camp episode flagship,1
62,least expected red sox best story town redsoxbaseball dirtywater redsox mediasrojas,0
63,raising umassgives completely donor funded program umassuwil able year programming featured field trips scholarships guest speakers area campus give happiness,1
64,thank took part umassgives power hour hannah frilot memorial scholarship managed individual donations time money go toward helping women nonbinary undergrads stem fields pursue dreams,1
65,rt umassmbb see soon jaylencurry flagship,1
66,rt fightma anyone unable see umass spring game broadcast yesterday attend person link entire game c,-1
67,appreciate guy coachalexmiller stopping hill today flagship sparktheflint,1
68,bluejays redsox bot th mound visit,1
69,rt nauticallyspeak cunardline queenmary way berths looks fabulous cunarder iconic qm flagship n,1
70,good morning fruends please consider donating uww program amount counts lot givehappy umassamherst,-1
71,gifts challenge live show love teams donation gift let see teams receive gifts next hour take home first place umassgives flagship,1
72,red sox blue jays connor wong game redsoxbaseball dirtywater redsox mediasrojas,0
73,bluejays redsox top th alejandro kirk grounds b rafael devers b justin turner kirk,1
74,redsox back sucking pitching year chaim embarrassed dirtywater,-1
75,morris moreau score back back goals q umass george mason flagship,1
76,rt umassamherst champion trees standouts biggest best species massachusetts umass nine campus jo,1
77,nc native viper prospect holds umass offer,1
78,singles update hack senli kraskaova napadiy jonglertrakul akimova flagship,-1
79,red sox al offensive ranks games st doubles nd hits nd hrs nd avg nd slg rd runs rd obp redsox,-1
80,houck stuff filthy wasting lot pitches need wasted redsox,-1
81,today umassgives last year college natural sciences raised k helped support many students scientific journey learn,1
82,rt umassfootball see next saturday mcguirk flagship,1
83,red sox connor wong goes batter box vs blue jays bostonredsox redsox bosox goredsox,-1
84,rt umassmbb help us officially welcome mathokmajok flagship,1
85,bluejays redsox bot rd alex verdugo doubles fly ball lf daulton varsho kikuchi ip h r k pitches strikes,-1
86,today wishing happy birthday grad anya napadiy wish best today flagship,1
87,sony flagship xperia v camera phone could debut may sony sonyxperiavprice sonyxperiavreleasedate sonyxperiavspecs sonys xperiav,1
88,rt boomerjr nft graded greggolson tgacards mlb orioles thehobby whodoyoucollect redsox,-1
89,rt coachmliv yea buddy privilege road umassfootball bay state dunkindonuts still hot,1
90,macho man staying hot dirtywater redsox,-1
91,bringing houck back th getting roughed runs inning bold choice like said need innings arms redsox,-1
92,hello cunardline queenmary cunarder flagship qm carnivalcorporation nauticallyspeaking,1
93,rt vcupav coincidentally believe vcu dayton since joining league flagship,-1
94,today last day umassgives support encourages caring faculty energizes students helps many organizations communities cns thrive learn donate,1
95,rt umpcrew umpires bluejays redsox lance barksdale little ryan additon dan merzel base assignments,1
96,rt umasshockey congratulations incredible career justin forever proud call one newmass x flagship,1
97,wow question far go umassgives isenberggives,-1
98,rt umassmlacrosse laxbacker nation thank showing day umassgives let bring energy day umassgives,1
99,rbi single chloe whittier umass gw flagship,1
100,bobcats strike first solo home run e quinnipiac umass flagship,1
