Text,User,Date,Time
"And that one is gone! 👋

Michael Toth crushes a two-run shot to extend our lead!

Toth's long ball is the first of his career!

M5 | UMass 6, Quinnipiac 3

#Flagship 🚩 https://t.co/CMTEFnjugm",UMassBaseball,2023-05-03,20:48:23
"RT @UMassMBB: 𝒮𝒾𝑔𝓃𝑒𝒹 🖊

See you soon, @Jaylencurry0 👀

🔗 https://t.co/AkCwYU8o6Y

#Flagship 🚩 https://t.co/0HMMfYF7X9",TheCoachNat,2023-05-03,20:55:25
"PITCHING CHANGE: Blake Bennett takes over on the bump!

#Flagship 🚩",UMassBaseball,2023-05-03,20:51:29
"📍 Richmond

#Flagship 🚩 https://t.co/arRu03rdxV",ChrisPTucci,2023-05-03,20:47:41
"RT @UMassFootball: 🎥 Had some fun this spring and made plays on both sides of the ball 

#Flagship🚩 https://t.co/uykvEexqIl",ac_sbe,2023-05-03,20:46:10
"RT @UMassLacrosse: Landed 🖐 on the #A10WLAX All-Conference First-Team 🙌

#Flagship 🚩 https://t.co/jDM2AYnoLu",bbruins1011,2023-05-03,20:43:45
"RT @UMassLacrosse: Placed 3️⃣ on the #A10WLAX Second-Team All-Conference squad 👊

#Flagship 🚩 https://t.co/0YWNZSrsK8",bbruins1011,2023-05-03,20:43:17
"RT @UMassLacrosse: The #A10WLAX Co-Coach of the Year ⤵️

✨ Jana Drummond ✨

#Flagship 🚩 https://t.co/kIOJODayGK",bbruins1011,2023-05-03,20:37:19
"RT @UMassLacrosse: The Minutewomen claimed 4 major #A10WLAX awards and placed 14 on all-conference teams on Wednesday.

Read up on the post…",UMassAthletics,2023-05-03,20:36:45
"RT @ValdamarTBrower: 📍Tallahassee, Florida❗️
Looking for disciplined SAVAGES ‼️
U were, U are, U WILL BE, UMASS❤️
#Flagship🚩 https://t.co/8…",Samontre6x,2023-05-03,20:36:27
"The Bobcats tack on another run in the bottom of the fourth

E4 | UMass 4, Quinnipiac 3

#Flagship 🚩",UMassBaseball,2023-05-03,20:35:43
"Will MacLean scores Peters on a two-out RBI single as we reclaim the lead!

T4 | UMass 3, Quinnipiac 2

#Flagship 🚩 https://t.co/3f7ZhLxeGy",UMassBaseball,2023-05-03,20:25:31
"RT @UMassLacrosse: The #A10WLAX Co-Offensive Player of the Year ⤵️

✨ Fiona McGowan ✨

#Flagship 🚩 https://t.co/Q3DuvMkEdF",RichSlate,2023-05-03,19:53:22
"RT @UMassLacrosse: The #A10WLAX Midfielder of the Year ⤵️

✨ Amy Moreau ✨

#Flagship 🚩 https://t.co/rn622rZgIv",RichSlate,2023-05-03,19:53:19
Congratulations Career Preparation Co-op student Meadow G. for earning the Microsoft Office Specialist Certification in PowerPoint 2019! Meadow has earned 4 industry-based certifications this year! @NHSTexans #Flagship. #TexansAtWork @NisdCTE #IamNISDCTE https://t.co/NutDJ5D3Yv,PTranNHS,2023-05-03,19:53:09
"RT @FlagshipClub: Fulfill your dream of getting startup funding in high school days with https://t.co/IF6g2CnpZ1. 

Learn more about the sa…",yadavamit1434,2023-05-03,12:49:13
RT @CoachP_eterson: Appreciate my guy @coachalexmiller for stopping by the Hill today! #Flagship🚩🚩🚩#SparkTheFlint https://t.co/J9Upxk0HoH,FightMA247,2023-05-03,18:04:13
RT @FlagshipClub: Parents in California cherished enrolling their kids in the student entrepreneurship program organized by the https://t.c…,yadavamit1434,2023-05-03,12:49:35
"Back-to-back doubles from Hanson and Blumenthal brings us within two runs!

T6 | St. Bonaventure 5, UMass 3

#Flagship 🚩",UMassBaseball,2023-04-29,21:06:15
"RT @UMassHockey: .@CoachCarvelUM on Locmelis 🗣️

#NewMass X #Flagship 🚩 https://t.co/gBGqVZVTrd",HighCharacter_,2023-05-02,18:45:34
"SPRING BALL ✅✅✅

Can’t wait to see what the fall brings for these DUDES ‼️

#Flagship #dUdeMASS #110AsOne 
 
🚩🏟️🏔️🏈 https://t.co/sFbgwxWaOe",CoachMLiv,2023-04-29,20:00:17
#Samsung #Galaxy #A34 Review: #Flagship Looks with Mid-range #Smarts https://t.co/TTaovXPfAz #5g #evaluation #mediatekdimensity #midrangephone #midrange #mobilephone #review #samsunggalaxya34 #smartphone #test,TimeBlogxyz,2023-05-03,19:19:56
Sony’s #Flagship #Xperia 1 V #Camera #Phone Could #Debut in May https://t.co/7EEaGPwN8K #sony #sonyxperiavprice #sonyxperiavreleasedate #sonyxperiavspecs #sonys #xperiav,TimeBlogxyz,2023-05-02,17:20:02
"RT @UMassFootball: 🎥 Massachusetts Football: Inside Spring Camp - Episode 2

#Flagship 🚩 https://t.co/l8YfAqSm1u",cliff311,2023-05-01,19:04:00
Great to see a landmark HMV #Flagship #Retail Store returning to #London’s #OxfordStreet 👍 #CXTransformation #Phygital #Music #Video #Entertainment https://t.co/7MptfJUvk5,BobbyAbedeen,2023-05-02,18:20:25
"Defense leads at the end of the second quarter!

#Flagship 🚩 https://t.co/1ftMFNWeY0",UMassFootball,2023-04-29,16:50:30
"RT @arcana_nexus: #sciencefiction #scifi #spaceship #starship #nook #IARTG  #Novel

Purchase the #books to support my work:
#ebook: https:/…",arcana_nexus,2023-05-01,07:39:03
"RT @UMassMLacrosse: GAMEDAY presented by @cooleydickinson

🆚 Hobart
⏰ 5 PM
📍 Amherst, Mass.
🖥 https://t.co/cUZOMR5KoH
📈 https://t.co/li2dpe…",LacrosseRockets,2023-04-28,20:37:13
"Good luck to Audrey, Camryn &amp; Haley who are competing at the Summit in FL and to Kynnedy who is competing at the 5A UIL Regional track meet in Lubbock this weekend! #Flagship #TexansAtWork https://t.co/2fbyROc0TH",NHS_Cheer_,2023-04-28,19:12:23
"15 minutes until game 2!

#Flagship 🚩 https://t.co/XmtrNOV3Tz",UMassSoftball,2023-04-28,18:31:14
"The Quest for the #A10WTEN Title Starts Friday! 😤🏆

🆚 No. 6 Davidson
🎾 A-10 Quarterfinals
📆 Friday, April 28
📍 Orlando, Fla. // USTA National Campus
⏰ 11:30 a.m.
🎥 https://t.co/KwFsCkDBNo
📊 https://t.co/U9rK4AiFZ7
📰 https://t.co/esRXN8Nmqt

#Flagship🚩 https://t.co/TZdFhnm90h",UMassTennis,2023-04-27,18:43:10
I am blessed to receive an offer from the University Of Massachusetts! #AGTG #Flagship @sims_coach @keithdudz @CoachMLiv @TheCribSouthFLA @GabyUrrutia247 @SWiltfong247 @RivalsFriedman @GeoMilian @larryblustein @adamgorney @Rivals @On3sports @247recruiting https://t.co/xP1ExTEE7O,Amaresanders_1,2023-05-02,18:13:40
"Coincidentally, I believe VCU is 14-8 over Dayton since joining the league.

#flagship https://t.co/LGSPplumOg",VCUPav,2023-04-25,20:09:57
"RT @JustOneWeeWorld: Overdue, over budget, and not fit for purpose. It's an SNP #flagship ...

SNP accused of 'breaking promise' by failing…",DarthSturgeon,2023-04-25,17:17:01
"Nolan Tichy rips a shot to left center field for a RBI single as Skagerlind comes around to score!

M4 | UMass 4, Quinnipiac 2

#Flagship 🚩 https://t.co/13rsiXKuHh",UMassBaseball,2023-05-03,20:28:27
"The senior ranks 8th among DI leaders in caused turnovers per game (2.38) while her 39 caused turnovers this season is 3rd most in a single season at UMass!

#Flagship 🚩 https://t.co/Aveha1oWyD",UMassLacrosse,2023-05-03,19:06:31
"Topps UCC Flagship 2️⃣2️⃣ / 2️⃣3️⃣ will soon disappear from https://t.co/VPRJzSQY3A however Blaster Boxes will be on sale EXCLUSIVELY @gamedigital stores on 0️⃣5️⃣ / 0️⃣5️⃣ / 2️⃣3️⃣

These Blaster Boxes also contain 4️⃣ EXCLUSIVE Infernal Parallels per box! 🤩

#Flagship #TheHobby #UCC https://t.co/j63IZyxVbx",Topps_UK,2023-05-02,16:30:45
RT @Coach_Mince54: Come on out and show out!!!! #dUdeMass #Flagship 🚩 #RBeast 🐺 https://t.co/jEQrCv079G,SCSportsR,2023-05-03,14:43:58
